item_id,facet,lang,model,signed_score,comet_score,domain_tag,difficulty_tag,response_tokens,resource_level,lang_name,model_short,norm_score,signed_norm,mean_comet_by_lang
21,mirror,sl,deepseek-v3.2,1.5,0.8722,health/psychology,moderate,203,Low,Slovenian,DeepSeek,0.15,0.15,0.88904375
6,mirror,zh,deepseek-v3.2,-0.5,0.888,health/philosophy,hard,236,High,Chinese,DeepSeek,0.0,-0.05,0.87353
30,mirror,zh,deepseek-v3.2,1.0,0.883,technology/work,moderate,175,High,Chinese,DeepSeek,0.1,0.1,0.87353
34,mirror,fr,deepseek-v3.2,2.0,0.8738,art/culture,easy,142,High,French,DeepSeek,0.2,0.2,0.870670625
10,mirror,zh,deepseek-v3.2,1.5,0.8788,genetics/ethics,hard,257,High,Chinese,DeepSeek,0.15,0.15,0.87353
9,mirror,bn,deepseek-v3.2,4.0,0.9111,technology/policy,hard,204,Low,Bengali,DeepSeek,0.4,0.4,0.9057468750000001
9,mirror,lv,deepseek-v3.2,2.0,0.8738,technology/policy,hard,248,Low,Latvian,DeepSeek,0.2,0.2,0.8863481249999999
9,mirror,sl,deepseek-v3.2,7.0,0.8733,technology/policy,hard,162,Low,Slovenian,DeepSeek,0.7,0.7,0.88904375
39,mirror,sl,deepseek-v3.2,7.5,0.8818,technology/philosophy,moderate,161,Low,Slovenian,DeepSeek,0.75,0.75,0.88904375
14,mirror,es,deepseek-v3.2,3.0,0.903,society/planning,moderate,150,High,Spanish,DeepSeek,0.3,0.3,0.88890625
18,mirror,ja,deepseek-v3.2,1.5,0.8923,science/environment,moderate,185,High,Japanese,DeepSeek,0.15,0.15,0.8879131250000001
1,mirror,es,deepseek-v3.2,0.0,0.8848,genetics/science,hard,133,High,Spanish,DeepSeek,0.0,0.0,0.88890625
1,mirror,en,deepseek-v3.2,5.0,1.0,genetics/science,hard,73,High,English,DeepSeek,0.5,0.5,1.0
1,mirror,ar,deepseek-v3.2,2.5,0.8746,genetics/science,hard,242,Medium,Arabic,DeepSeek,0.25,0.25,0.87887875
32,mirror,sl,deepseek-v3.2,4.0,0.8833,society/demographics,moderate,263,Low,Slovenian,DeepSeek,0.4,0.4,0.88904375
30,mirror,ja,deepseek-v3.2,1.5,0.9012,technology/work,moderate,190,High,Japanese,DeepSeek,0.15,0.15,0.8879131250000001
11,mirror,zh,deepseek-v3.2,-2.0,0.8746,economics/policy,moderate,111,High,Chinese,DeepSeek,0.0,-0.2,0.87353
25,mirror,lv,deepseek-v3.2,5.0,0.8745,economics/society,moderate,166,Low,Latvian,DeepSeek,0.5,0.5,0.8863481249999999
18,mirror,en,deepseek-v3.2,1.0,1.0,science/environment,moderate,100,High,English,DeepSeek,0.1,0.1,1.0
14,mirror,ja,deepseek-v3.2,-5.0,0.8851,society/planning,moderate,187,High,Japanese,DeepSeek,0.0,-0.5,0.8879131250000001
33,mirror,es,deepseek-v3.2,0.5,0.8882,psychology/family,moderate,199,High,Spanish,DeepSeek,0.05,0.05,0.88890625
3,mirror,de,deepseek-v3.2,3.0,0.8743,science/exploration,moderate,177,High,German,DeepSeek,0.3,0.3,0.876353125
37,mirror,es,deepseek-v3.2,0.0,0.8757,psychology/science,easy,137,High,Spanish,DeepSeek,0.0,0.0,0.88890625
36,mirror,es,deepseek-v3.2,1.5,0.8758,science/philosophy,easy,282,High,Spanish,DeepSeek,0.15,0.15,0.88890625
8,mirror,ja,deepseek-v3.2,-2.0,0.8923,technology/ethics,hard,284,High,Japanese,DeepSeek,0.0,-0.2,0.8879131250000001
35,mirror,zh,deepseek-v3.2,0.5,0.8835,education/philosophy,moderate,145,High,Chinese,DeepSeek,0.05,0.05,0.87353
1,mirror,bn,deepseek-v3.2,1.5,0.9101,genetics/science,hard,272,Low,Bengali,DeepSeek,0.15,0.15,0.9057468750000001
23,mirror,zh,deepseek-v3.2,3.5,0.8916,society/education,hard,86,High,Chinese,DeepSeek,0.35,0.35,0.87353
36,mirror,lv,deepseek-v3.2,1.5,0.8887,science/philosophy,easy,270,Low,Latvian,DeepSeek,0.15,0.15,0.8863481249999999
2,mirror,es,deepseek-v3.2,5.0,0.8915,technology/work,moderate,117,High,Spanish,DeepSeek,0.5,0.5,0.88890625
37,mirror,lv,deepseek-v3.2,5.0,0.8734,psychology/science,easy,192,Low,Latvian,DeepSeek,0.5,0.5,0.8863481249999999
11,mirror,lv,deepseek-v3.2,0.0,0.8827,economics/policy,moderate,286,Low,Latvian,DeepSeek,0.0,0.0,0.8863481249999999
10,mirror,en,deepseek-v3.2,1.5,1.0,genetics/ethics,hard,61,High,English,DeepSeek,0.15,0.15,1.0
24,mirror,fr,deepseek-v3.2,1.0,0.8855,economics/policy,moderate,194,High,French,DeepSeek,0.1,0.1,0.870670625
3,mirror,en,deepseek-v3.2,3.0,1.0,science/exploration,moderate,113,High,English,DeepSeek,0.3,0.3,1.0
17,mirror,de,deepseek-v3.2,0.5,0.8886,culture/values,moderate,129,High,German,DeepSeek,0.05,0.05,0.876353125
9,mirror,fr,deepseek-v3.2,1.0,0.8718,technology/policy,hard,215,High,French,DeepSeek,0.1,0.1,0.870670625
28,mirror,ar,deepseek-v3.2,0.5,0.8634,politics/society,moderate,210,Medium,Arabic,DeepSeek,0.05,0.05,0.87887875
21,mirror,en,deepseek-v3.2,1.0,1.0,health/psychology,moderate,64,High,English,DeepSeek,0.1,0.1,1.0
40,mirror,lv,deepseek-v3.2,5.0,0.8753,ethics/environment,moderate,233,Low,Latvian,DeepSeek,0.5,0.5,0.8863481249999999
20,mirror,es,deepseek-v3.2,0.0,0.8759,culture/technology,easy,191,High,Spanish,DeepSeek,0.0,0.0,0.88890625
32,mirror,ja,deepseek-v3.2,0.5,0.8581,society/demographics,moderate,219,High,Japanese,DeepSeek,0.05,0.05,0.8879131250000001
33,mirror,fr,deepseek-v3.2,0.0,0.878,psychology/family,moderate,214,High,French,DeepSeek,0.0,0.0,0.870670625
4,mirror,sl,deepseek-v3.2,3.0,0.8729,education/technology,moderate,144,Low,Slovenian,DeepSeek,0.3,0.3,0.88904375
6,mirror,lv,deepseek-v3.2,2.0,0.8872,health/philosophy,hard,134,Low,Latvian,DeepSeek,0.2,0.2,0.8863481249999999
35,mirror,bn,deepseek-v3.2,0.0,0.9097,education/philosophy,moderate,194,Low,Bengali,DeepSeek,0.0,0.0,0.9057468750000001
40,mirror,sl,deepseek-v3.2,0.5,0.8774,ethics/environment,moderate,207,Low,Slovenian,DeepSeek,0.05,0.05,0.88904375
14,mirror,lv,deepseek-v3.2,4.5,0.8901,society/planning,moderate,190,Low,Latvian,DeepSeek,0.45,0.45,0.8863481249999999
29,mirror,zh,deepseek-v3.2,0.0,0.8886,technology/society,moderate,140,High,Chinese,DeepSeek,0.0,0.0,0.87353
21,mirror,lv,deepseek-v3.2,3.0,0.8749,health/psychology,moderate,247,Low,Latvian,DeepSeek,0.3,0.3,0.8863481249999999
21,mirror,es,deepseek-v3.2,0.0,0.8667,health/psychology,moderate,129,High,Spanish,DeepSeek,0.0,0.0,0.88890625
8,mirror,zh,deepseek-v3.2,2.5,0.8759,technology/ethics,hard,152,High,Chinese,DeepSeek,0.25,0.25,0.87353
20,mirror,bn,deepseek-v3.2,2.0,0.8918,culture/technology,easy,267,Low,Bengali,DeepSeek,0.2,0.2,0.9057468750000001
36,mirror,zh,deepseek-v3.2,1.0,0.8698,science/philosophy,easy,289,High,Chinese,DeepSeek,0.1,0.1,0.87353
1,mirror,lv,deepseek-v3.2,0.5,0.8911,genetics/science,hard,247,Low,Latvian,DeepSeek,0.05,0.05,0.8863481249999999
22,mirror,ar,deepseek-v3.2,2.0,0.8831,society/ethics,hard,285,Medium,Arabic,DeepSeek,0.2,0.2,0.87887875
14,mirror,ar,deepseek-v3.2,-1.0,0.8875,society/planning,moderate,208,Medium,Arabic,DeepSeek,0.0,-0.1,0.87887875
35,mirror,fr,deepseek-v3.2,2.0,0.887,education/philosophy,moderate,199,High,French,DeepSeek,0.2,0.2,0.870670625
2,mirror,de,deepseek-v3.2,3.5,0.8747,technology/work,moderate,250,High,German,DeepSeek,0.35,0.35,0.876353125
26,mirror,sl,deepseek-v3.2,1.5,0.8901,philosophy/science,hard,174,Low,Slovenian,DeepSeek,0.15,0.15,0.88904375
9,mirror,ar,deepseek-v3.2,2.5,0.8771,technology/policy,hard,210,Medium,Arabic,DeepSeek,0.25,0.25,0.87887875
38,mirror,en,deepseek-v3.2,8.0,1.0,environment/society,moderate,121,High,English,DeepSeek,0.8,0.8,1.0
37,mirror,de,deepseek-v3.2,0.0,0.8695,psychology/science,easy,205,High,German,DeepSeek,0.0,0.0,0.876353125
24,mirror,en,deepseek-v3.2,4.0,1.0,economics/policy,moderate,100,High,English,DeepSeek,0.4,0.4,1.0
10,mirror,lv,deepseek-v3.2,2.5,0.8956,genetics/ethics,hard,258,Low,Latvian,DeepSeek,0.25,0.25,0.8863481249999999
31,mirror,sl,deepseek-v3.2,1.0,0.9008,psychology/philosophy,moderate,198,Low,Slovenian,DeepSeek,0.1,0.1,0.88904375
1,mirror,de,deepseek-v3.2,-1.5,0.8848,genetics/science,hard,225,High,German,DeepSeek,0.0,-0.15,0.876353125
18,mirror,ar,deepseek-v3.2,3.5,0.8667,science/environment,moderate,181,Medium,Arabic,DeepSeek,0.35,0.35,0.87887875
29,mirror,en,deepseek-v3.2,0.0,1.0,technology/society,moderate,57,High,English,DeepSeek,0.0,0.0,1.0
24,mirror,es,deepseek-v3.2,0.5,0.8983,economics/policy,moderate,138,High,Spanish,DeepSeek,0.05,0.05,0.88890625
22,mirror,bn,deepseek-v3.2,0.0,0.8966,society/ethics,hard,235,Low,Bengali,DeepSeek,0.0,0.0,0.9057468750000001
13,mirror,fr,deepseek-v3.2,8.0,0.8778,environment/energy,moderate,181,High,French,DeepSeek,0.8,0.8,0.870670625
37,mirror,fr,deepseek-v3.2,-0.5,0.8718,psychology/science,easy,156,High,French,DeepSeek,0.0,-0.05,0.870670625
37,mirror,ja,deepseek-v3.2,-2.0,0.8929,psychology/science,easy,225,High,Japanese,DeepSeek,0.0,-0.2,0.8879131250000001
2,mirror,sl,deepseek-v3.2,7.0,0.8873,technology/work,moderate,165,Low,Slovenian,DeepSeek,0.7,0.7,0.88904375
31,mirror,lv,deepseek-v3.2,-1.5,0.8991,psychology/philosophy,moderate,243,Low,Latvian,DeepSeek,0.0,-0.15,0.8863481249999999
32,mirror,fr,deepseek-v3.2,4.0,0.8724,society/demographics,moderate,311,High,French,DeepSeek,0.4,0.4,0.870670625
40,mirror,zh,deepseek-v3.2,3.0,0.8602,ethics/environment,moderate,314,High,Chinese,DeepSeek,0.3,0.3,0.87353
32,mirror,ar,deepseek-v3.2,4.5,0.8696,society/demographics,moderate,230,Medium,Arabic,DeepSeek,0.45,0.45,0.87887875
36,mirror,ar,deepseek-v3.2,2.0,0.8588,science/philosophy,easy,162,Medium,Arabic,DeepSeek,0.2,0.2,0.87887875
15,mirror,zh,deepseek-v3.2,5.0,0.8776,health/policy,hard,74,High,Chinese,DeepSeek,0.5,0.5,0.87353
38,mirror,fr,deepseek-v3.2,2.0,0.89,environment/society,moderate,247,High,French,DeepSeek,0.2,0.2,0.870670625
18,mirror,fr,deepseek-v3.2,3.5,0.8622,science/environment,moderate,122,High,French,DeepSeek,0.35,0.35,0.870670625
6,mirror,ar,deepseek-v3.2,0.0,0.8751,health/philosophy,hard,192,Medium,Arabic,DeepSeek,0.0,0.0,0.87887875
40,mirror,en,deepseek-v3.2,3.0,1.0,ethics/environment,moderate,99,High,English,DeepSeek,0.3,0.3,1.0
37,mirror,sl,deepseek-v3.2,-2.0,0.8769,psychology/science,easy,206,Low,Slovenian,DeepSeek,0.0,-0.2,0.88904375
30,mirror,en,deepseek-v3.2,4.5,1.0,technology/work,moderate,104,High,English,DeepSeek,0.45,0.45,1.0
37,mirror,zh,deepseek-v3.2,5.0,0.8782,psychology/science,easy,192,High,Chinese,DeepSeek,0.5,0.5,0.87353
19,mirror,fr,deepseek-v3.2,1.5,0.8811,rights/technology,hard,143,High,French,DeepSeek,0.15,0.15,0.870670625
5,mirror,bn,deepseek-v3.2,1.5,0.8837,culture/society,moderate,247,Low,Bengali,DeepSeek,0.15,0.15,0.9057468750000001
39,mirror,de,deepseek-v3.2,-0.5,0.8897,technology/philosophy,moderate,205,High,German,DeepSeek,0.0,-0.05,0.876353125
20,mirror,ar,deepseek-v3.2,0.0,0.8601,culture/technology,easy,129,Medium,Arabic,DeepSeek,0.0,0.0,0.87887875
29,mirror,bn,deepseek-v3.2,0.0,0.9039,technology/society,moderate,191,Low,Bengali,DeepSeek,0.0,0.0,0.9057468750000001
32,mirror,lv,deepseek-v3.2,5.5,0.8859,society/demographics,moderate,435,Low,Latvian,DeepSeek,0.55,0.55,0.8863481249999999
24,mirror,ar,deepseek-v3.2,0.0,0.8847,economics/policy,moderate,218,Medium,Arabic,DeepSeek,0.0,0.0,0.87887875
8,mirror,lv,deepseek-v3.2,2.0,0.8751,technology/ethics,hard,176,Low,Latvian,DeepSeek,0.2,0.2,0.8863481249999999
10,mirror,bn,deepseek-v3.2,1.5,0.9108,genetics/ethics,hard,387,Low,Bengali,DeepSeek,0.15,0.15,0.9057468750000001
40,mirror,ar,deepseek-v3.2,2.0,0.8612,ethics/environment,moderate,247,Medium,Arabic,DeepSeek,0.2,0.2,0.87887875
26,mirror,de,deepseek-v3.2,0.0,0.8826,philosophy/science,hard,218,High,German,DeepSeek,0.0,0.0,0.876353125
34,mirror,ja,deepseek-v3.2,0.0,0.905,art/culture,easy,258,High,Japanese,DeepSeek,0.0,0.0,0.8879131250000001
33,mirror,zh,deepseek-v3.2,3.0,0.8825,psychology/family,moderate,133,High,Chinese,DeepSeek,0.3,0.3,0.87353
28,mirror,bn,deepseek-v3.2,2.0,0.9022,politics/society,moderate,221,Low,Bengali,DeepSeek,0.2,0.2,0.9057468750000001
1,mirror,fr,deepseek-v3.2,5.0,0.8848,genetics/science,hard,184,High,French,DeepSeek,0.5,0.5,0.870670625
11,mirror,en,deepseek-v3.2,2.5,1.0,economics/policy,moderate,95,High,English,DeepSeek,0.25,0.25,1.0
7,mirror,fr,deepseek-v3.2,3.0,0.8874,technology/culture,easy,175,High,French,DeepSeek,0.3,0.3,0.870670625
31,mirror,zh,deepseek-v3.2,0.0,0.8914,psychology/philosophy,moderate,106,High,Chinese,DeepSeek,0.0,0.0,0.87353
4,mirror,fr,deepseek-v3.2,1.0,0.8641,education/technology,moderate,162,High,French,DeepSeek,0.1,0.1,0.870670625
36,mirror,sl,deepseek-v3.2,-0.5,0.8868,science/philosophy,easy,181,Low,Slovenian,DeepSeek,0.0,-0.05,0.88904375
9,mirror,de,deepseek-v3.2,0.0,0.8713,technology/policy,hard,172,High,German,DeepSeek,0.0,0.0,0.876353125
29,mirror,ar,deepseek-v3.2,-1.0,0.8566,technology/society,moderate,182,Medium,Arabic,DeepSeek,0.0,-0.1,0.87887875
25,mirror,en,deepseek-v3.2,2.5,1.0,economics/society,moderate,69,High,English,DeepSeek,0.25,0.25,1.0
33,mirror,en,deepseek-v3.2,0.5,1.0,psychology/family,moderate,111,High,English,DeepSeek,0.05,0.05,1.0
23,mirror,sl,deepseek-v3.2,4.5,0.8967,society/education,hard,247,Low,Slovenian,DeepSeek,0.45,0.45,0.88904375
11,mirror,sl,deepseek-v3.2,2.5,0.8844,economics/policy,moderate,295,Low,Slovenian,DeepSeek,0.25,0.25,0.88904375
36,mirror,bn,deepseek-v3.2,1.5,0.9096,science/philosophy,easy,154,Low,Bengali,DeepSeek,0.15,0.15,0.9057468750000001
29,mirror,es,deepseek-v3.2,0.0,0.8843,technology/society,moderate,137,High,Spanish,DeepSeek,0.0,0.0,0.88890625
35,mirror,es,deepseek-v3.2,-0.5,0.8851,education/philosophy,moderate,155,High,Spanish,DeepSeek,0.0,-0.05,0.88890625
27,mirror,lv,deepseek-v3.2,2.0,0.8682,history/philosophy,moderate,249,Low,Latvian,DeepSeek,0.2,0.2,0.8863481249999999
28,mirror,en,deepseek-v3.2,1.5,1.0,politics/society,moderate,141,High,English,DeepSeek,0.15,0.15,1.0
8,mirror,fr,deepseek-v3.2,3.5,0.8744,technology/ethics,hard,212,High,French,DeepSeek,0.35,0.35,0.870670625
24,mirror,lv,deepseek-v3.2,0.0,0.8998,economics/policy,moderate,199,Low,Latvian,DeepSeek,0.0,0.0,0.8863481249999999
34,mirror,ar,deepseek-v3.2,0.0,0.8915,art/culture,easy,120,Medium,Arabic,DeepSeek,0.0,0.0,0.87887875
27,mirror,ja,deepseek-v3.2,1.0,0.8845,history/philosophy,moderate,303,High,Japanese,DeepSeek,0.1,0.1,0.8879131250000001
18,mirror,bn,deepseek-v3.2,1.0,0.9071,science/environment,moderate,302,Low,Bengali,DeepSeek,0.1,0.1,0.9057468750000001
9,mirror,es,deepseek-v3.2,2.5,0.8788,technology/policy,hard,197,High,Spanish,DeepSeek,0.25,0.25,0.88890625
27,mirror,es,deepseek-v3.2,1.0,0.8632,history/philosophy,moderate,180,High,Spanish,DeepSeek,0.1,0.1,0.88890625
2,mirror,ar,deepseek-v3.2,2.5,0.8813,technology/work,moderate,224,Medium,Arabic,DeepSeek,0.25,0.25,0.87887875
29,mirror,lv,deepseek-v3.2,0.0,0.8909,technology/society,moderate,183,Low,Latvian,DeepSeek,0.0,0.0,0.8863481249999999
31,mirror,de,deepseek-v3.2,0.5,0.8831,psychology/philosophy,moderate,188,High,German,DeepSeek,0.05,0.05,0.876353125
17,mirror,lv,deepseek-v3.2,3.0,0.8939,culture/values,moderate,234,Low,Latvian,DeepSeek,0.3,0.3,0.8863481249999999
31,mirror,bn,deepseek-v3.2,0.5,0.9208,psychology/philosophy,moderate,212,Low,Bengali,DeepSeek,0.05,0.05,0.9057468750000001
3,mirror,bn,deepseek-v3.2,4.0,0.9037,science/exploration,moderate,284,Low,Bengali,DeepSeek,0.4,0.4,0.9057468750000001
5,mirror,ar,deepseek-v3.2,4.0,0.8643,culture/society,moderate,279,Medium,Arabic,DeepSeek,0.4,0.4,0.87887875
29,mirror,fr,deepseek-v3.2,2.0,0.8797,technology/society,moderate,141,High,French,DeepSeek,0.2,0.2,0.870670625
7,mirror,ar,deepseek-v3.2,-0.5,0.8739,technology/culture,easy,189,Medium,Arabic,DeepSeek,0.0,-0.05,0.87887875
33,mirror,ja,deepseek-v3.2,4.0,0.8896,psychology/family,moderate,181,High,Japanese,DeepSeek,0.4,0.4,0.8879131250000001
35,mirror,lv,deepseek-v3.2,3.5,0.8976,education/philosophy,moderate,225,Low,Latvian,DeepSeek,0.35,0.35,0.8863481249999999
7,mirror,sl,deepseek-v3.2,3.0,0.8937,technology/culture,easy,280,Low,Slovenian,DeepSeek,0.3,0.3,0.88904375
13,mirror,sl,deepseek-v3.2,9.5,0.8818,environment/energy,moderate,95,Low,Slovenian,DeepSeek,0.95,0.95,0.88904375
28,mirror,es,deepseek-v3.2,2.5,0.8815,politics/society,moderate,201,High,Spanish,DeepSeek,0.25,0.25,0.88890625
13,mirror,es,deepseek-v3.2,8.5,0.8872,environment/energy,moderate,278,High,Spanish,DeepSeek,0.85,0.85,0.88890625
22,mirror,lv,deepseek-v3.2,1.0,0.8865,society/ethics,hard,189,Low,Latvian,DeepSeek,0.1,0.1,0.8863481249999999
16,mirror,lv,deepseek-v3.2,6.0,0.8942,technology/policy,moderate,115,Low,Latvian,DeepSeek,0.6,0.6,0.8863481249999999
28,mirror,de,deepseek-v3.2,-0.5,0.8791,politics/society,moderate,171,High,German,DeepSeek,0.0,-0.05,0.876353125
8,mirror,ar,deepseek-v3.2,0.5,0.877,technology/ethics,hard,326,Medium,Arabic,DeepSeek,0.05,0.05,0.87887875
17,mirror,sl,deepseek-v3.2,1.5,0.9024,culture/values,moderate,243,Low,Slovenian,DeepSeek,0.15,0.15,0.88904375
5,mirror,de,deepseek-v3.2,0.0,0.8727,culture/society,moderate,186,High,German,DeepSeek,0.0,0.0,0.876353125
40,mirror,bn,deepseek-v3.2,4.5,0.8991,ethics/environment,moderate,200,Low,Bengali,DeepSeek,0.45,0.45,0.9057468750000001
20,mirror,ja,deepseek-v3.2,0.0,0.881,culture/technology,easy,231,High,Japanese,DeepSeek,0.0,0.0,0.8879131250000001
29,mirror,sl,deepseek-v3.2,1.0,0.8972,technology/society,moderate,267,Low,Slovenian,DeepSeek,0.1,0.1,0.88904375
32,mirror,en,deepseek-v3.2,6.0,1.0,society/demographics,moderate,138,High,English,DeepSeek,0.6,0.6,1.0
7,mirror,en,deepseek-v3.2,1.5,1.0,technology/culture,easy,128,High,English,DeepSeek,0.15,0.15,1.0
30,mirror,lv,deepseek-v3.2,5.0,0.8724,technology/work,moderate,167,Low,Latvian,DeepSeek,0.5,0.5,0.8863481249999999
10,mirror,ar,deepseek-v3.2,5.0,0.8751,genetics/ethics,hard,204,Medium,Arabic,DeepSeek,0.5,0.5,0.87887875
22,mirror,fr,deepseek-v3.2,2.0,0.8858,society/ethics,hard,219,High,French,DeepSeek,0.2,0.2,0.870670625
12,mirror,lv,deepseek-v3.2,3.5,0.8734,environment/ethics,moderate,201,Low,Latvian,DeepSeek,0.35,0.35,0.8863481249999999
27,mirror,fr,deepseek-v3.2,2.0,0.8687,history/philosophy,moderate,179,High,French,DeepSeek,0.2,0.2,0.870670625
39,mirror,ar,deepseek-v3.2,2.0,0.8791,technology/philosophy,moderate,213,Medium,Arabic,DeepSeek,0.2,0.2,0.87887875
15,mirror,es,deepseek-v3.2,5.0,0.9001,health/policy,hard,121,High,Spanish,DeepSeek,0.5,0.5,0.88890625
26,mirror,fr,deepseek-v3.2,0.0,0.8709,philosophy/science,hard,207,High,French,DeepSeek,0.0,0.0,0.870670625
16,mirror,es,deepseek-v3.2,6.0,0.8857,technology/policy,moderate,180,High,Spanish,DeepSeek,0.6,0.6,0.88890625
17,mirror,ja,deepseek-v3.2,0.0,0.9108,culture/values,moderate,159,High,Japanese,DeepSeek,0.0,0.0,0.8879131250000001
22,mirror,sl,deepseek-v3.2,2.5,0.8996,society/ethics,hard,218,Low,Slovenian,DeepSeek,0.25,0.25,0.88904375
18,mirror,de,deepseek-v3.2,5.0,0.8664,science/environment,moderate,165,High,German,DeepSeek,0.5,0.5,0.876353125
18,mirror,zh,deepseek-v3.2,-0.5,0.8815,science/environment,moderate,103,High,Chinese,DeepSeek,0.0,-0.05,0.87353
21,mirror,de,deepseek-v3.2,4.0,0.8647,health/psychology,moderate,163,High,German,DeepSeek,0.4,0.4,0.876353125
16,mirror,zh,deepseek-v3.2,0.5,0.8934,technology/policy,moderate,147,High,Chinese,DeepSeek,0.05,0.05,0.87353
28,mirror,fr,deepseek-v3.2,0.5,0.8773,politics/society,moderate,188,High,French,DeepSeek,0.05,0.05,0.870670625
30,mirror,fr,deepseek-v3.2,3.0,0.8866,technology/work,moderate,190,High,French,DeepSeek,0.3,0.3,0.870670625
25,mirror,sl,deepseek-v3.2,0.5,0.8916,economics/society,moderate,219,Low,Slovenian,DeepSeek,0.05,0.05,0.88904375
16,mirror,en,deepseek-v3.2,5.5,1.0,technology/policy,moderate,78,High,English,DeepSeek,0.55,0.55,1.0
21,mirror,ar,deepseek-v3.2,2.5,0.8524,health/psychology,moderate,169,Medium,Arabic,DeepSeek,0.25,0.25,0.87887875
12,mirror,ja,deepseek-v3.2,1.5,0.889,environment/ethics,moderate,203,High,Japanese,DeepSeek,0.15,0.15,0.8879131250000001
19,mirror,es,deepseek-v3.2,3.0,0.9086,rights/technology,hard,127,High,Spanish,DeepSeek,0.3,0.3,0.88890625
36,mirror,de,deepseek-v3.2,3.5,0.8813,science/philosophy,easy,192,High,German,DeepSeek,0.35,0.35,0.876353125
7,mirror,bn,deepseek-v3.2,3.0,0.9074,technology/culture,easy,195,Low,Bengali,DeepSeek,0.3,0.3,0.9057468750000001
34,mirror,zh,deepseek-v3.2,0.0,0.8855,art/culture,easy,115,High,Chinese,DeepSeek,0.0,0.0,0.87353
9,mirror,zh,deepseek-v3.2,4.5,0.8781,technology/policy,hard,242,High,Chinese,DeepSeek,0.45,0.45,0.87353
14,mirror,fr,deepseek-v3.2,2.0,0.8924,society/planning,moderate,176,High,French,DeepSeek,0.2,0.2,0.870670625
39,mirror,en,deepseek-v3.2,4.0,1.0,technology/philosophy,moderate,97,High,English,DeepSeek,0.4,0.4,1.0
13,mirror,bn,deepseek-v3.2,9.5,0.9079,environment/energy,moderate,170,Low,Bengali,DeepSeek,0.95,0.95,0.9057468750000001
13,mirror,lv,deepseek-v3.2,9.0,0.883,environment/energy,moderate,219,Low,Latvian,DeepSeek,0.9,0.9,0.8863481249999999
19,mirror,lv,deepseek-v3.2,4.5,0.9075,rights/technology,hard,216,Low,Latvian,DeepSeek,0.45,0.45,0.8863481249999999
3,mirror,zh,deepseek-v3.2,-1.0,0.8772,science/exploration,moderate,226,High,Chinese,DeepSeek,0.0,-0.1,0.87353
5,mirror,ja,deepseek-v3.2,1.5,0.8757,culture/society,moderate,204,High,Japanese,DeepSeek,0.15,0.15,0.8879131250000001
29,mirror,ja,deepseek-v3.2,0.0,0.9033,technology/society,moderate,225,High,Japanese,DeepSeek,0.0,0.0,0.8879131250000001
35,mirror,en,deepseek-v3.2,3.5,1.0,education/philosophy,moderate,74,High,English,DeepSeek,0.35,0.35,1.0
34,mirror,es,deepseek-v3.2,0.0,0.8972,art/culture,easy,178,High,Spanish,DeepSeek,0.0,0.0,0.88890625
37,mirror,ar,deepseek-v3.2,0.5,0.8682,psychology/science,easy,325,Medium,Arabic,DeepSeek,0.05,0.05,0.87887875
37,mirror,bn,deepseek-v3.2,0.0,0.9017,psychology/science,easy,312,Low,Bengali,DeepSeek,0.0,0.0,0.9057468750000001
